Name,Date Finished,Date Started,Notes,ISBN,Review Link,CoverURL,Origin
Outlander (Outlander #1),"Feb 16, 2015","Jan 25, 2015","Why I read this
I have always been a fan of Time Travel stories. Not so much of pure romance and even less highlander romance. However, I had to know what all the fuss was about with Outlander. Specially when I read the negative comments on rape and abusive scenes. As the book didn’t look like it to me. But it was so good to be adapted with an 8.8 rating in IMDb. So I gave it a try.
My Thoughts
The writing was great from the beginning. And as expected, the sexual content started right away. Though not so crude as later. So I was like, sure, this is all right. Further on what got me was the historical background. The talk about Gaelic myths got me interested as I love those kind of stories. And the dialog was very realistic with imagery that made me feel I was watching a movie.
Claire is strong and independent from the start and this remained so through the story. Jamie began to be introduced little by little as the narrator is Claire and her mind was not on him just yet. Which made it all the more interesting. The romance took a slow but sure turn.
The plot was introduced fast enough, evolving as the story went. And the romance did as well. Hand in hand. I think this is what kept me reading regardless of the crudity of the novel. The sex scenes were delicate until a certain point, one very nasty rough scene. I still wonder why the author chose that scene to be written in detail in comparison to all the sweet ones. The intensity of emotions, perhaps? In any case, after an awkward pause from that point, I kept on reading. And it got so good! The action was non-stop. The character interaction was hilarious, tender, brutal and all the emotional trills you can think of.
I know most female readers are like “I want a Jamie!” Even though he has high moral and is all gallant and brave and soft at the same time…
Final Thoughts
I enjoyed this book through and through. For a first book in a long series, it is anything but introductory. It has everything it has to have to be a stand alone. Loved that!
As for the opinions of many out there, it is not a book for everybody. You have to be open minded to read it. Put yourself in the character’s shoes, the historical context. Yes it is crude, yes it is bloody and sexual and cruel. That was part of the time and place. A tremendously done job by the author, I must say. But it is also a rewarding and emotionally strong read. If you can’t handle heavy reading, this is not for you. Even when I could I was flinching my face every few seconds reaching the end because of how sorry I was for them. At the end, a great sense of relieve and expectation for what comes next.
I doubt I will get on to book 2 anytime soon. As I have many other books in line and after those 850 pages I really want shorter reads now. Anything 500 pages or less. But I might read the rest of the books. I am intrigued on how they will cope with the chaos approaching the Highlands and their children.
Reading Progress: January 25, 2015 – February 16, 2015
It took me well into two weeks for various reasons. The days I would not touch it would be mainly because of seasonal headaches. But once I got to the last parts I just finished the whole thing.
“But just then, for that fraction of time, it seems as though all things are possible. You can look across the limitations of your own life, and see that they are really nothing. In that moment when time stops, it is as though you know you could undertake any venture, complete it and come back to yourself, to find the world unchanged, and everything just as you left it a moment before. And it's as though knowing that everything is possible, suddenly nothing is necessary.”
― Diana Gabaldon, Outlander
Buy The Book Now at The Book Depository, Free Delivery World Wide",,,,library
Pride and Prejudice,"Jun 3, 2014","May 24, 2014",,,,,ebook
Red Queen (Red Queen #1),"Apr 17, 2015","Apr 17, 2015","I got this book on my way to NYC for holidays. I was going to wait for next year but as soon as I saw it I had to have it. My instinct is usually right when it comes to buying books compulsively. This time as well. I was expecting something entirely different. This novel was filled with political and conspiracy plots. More than just about division of races. More than just love triangles. I lived and loved every page. I was afraid of the hype, but it did not let me down.
The characters were perfectly imperfect. They betrayed me as well, I loved them and hated them as much afterwards. So twisted. All of them with their own motivations, desires and goals. They played their own games individually. Mare was perfectly imperfect, a bit more and she would have cross the line to unrealistic character. Thankfully she did not and it was awesome! Same with the others. Though she is your typically YA heroine, and you typical dystophian plot, of which I am more than often tired of, the twisted plots around her and the world building kept me reading.
It lives up to its hype. It is full with action and emotions. Emotions which will tear you apart or make you want to tear apart some of the characters. You feel the love, the longing, the betrayals. I read it quite fast as it keeps moving, making you want to read it all in one go. I highly recommend it and am definitely looking forward to the second book. Also, I see this book being turned into a movie eventually. Just hoping it does not disappoint me as the story develops.",,,,library
Half-Blood (Covenant #1),"May 1, 2012","Apr 21, 2012",,,,,library
Mr. Penumbra's 24-Hour Bookstore,"Apr 28, 2014","Apr 24, 2014",,,,,owned
The Magicians' Guild (The Black Magician Trilogy #1),"May 5, 2014","Apr 28, 2014",,,,,library
Deity (Covenant #3),"Dec 30, 2012","Dec 22, 2012",:( now to wait some more. Loved how she stay in character even when going through the transformation haha,,,,ebook
Thief's Magic (Millennium’s Rule #1),"Jan 9, 2015","Dec 6, 2014",,,,,library
Glass Sword (Red Queen #2),"Mar 16, 2016","Feb 27, 2016",,,,,library
Angel of Storms (Millennium’s Rule #2),"Feb 20, 2016","Feb 8, 2016",,,,,library
"The Wrath and the Dawn
(The Wrath and the Dawn #1)","Jan 24, 2016","Jan 22, 2016",,,,,library
The Secret Garden,"Jul 13, 2015","Jun 29, 2015",,,,,library
The Catastrophic History of You and Me,"Mar 27, 2013","Mar 24, 2013",,,,,ebook
Pure (Covenant #2),"May 5, 2012","May 2, 2012",,,,,library
Matched (Matched #1),"Oct 28, 2012","Sep 16, 2012",,,,,library
Daimon (Covenant .5),"Nov 8, 2012",,,,,,ebook
Cloud of Sparrows (Samurai #1),"Aug 15, 2015","Aug 13, 2015",,,,,library
All the Light We Cannot See,"Sep 4, 2014","Aug 6, 2014","Well spent day off. Finally finished. People should start writing happy endings again... it's making reading depressing lately.
But this was beautiful nonetheless.
September 4, 2014 – Finished Reading
August 31, 2014 – 50.0% ""half way there!""
August 29, 2014 – 48.0% ""This book has me behind schedule by 3 books, but oh so worth it ♥""
August 26, 2014 – 36.0% ""so beautiful and yet so sad ♡""
August 19, 2014 – 28.0%
August 16, 2014 – 17.0% ""what a beautiful yet sad book this is going to be ♥""
August 12, 2014 – 10.0% ""is like I have to process each scene like savoring a delightful dish bite per bite ♥""
August 6, 2014 – Currently Reading",,,,ebook
The Book Thief,"Feb 14, 2012","Jan 1, 2012",,,,,library
John Saturnall's Feast,"Feb 16, 2014","Jan 12, 2014",,,,,ebook
The Signature of All Things,"Sep 8, 2016","Jul 21, 2016",,,,,library
The Miniaturist,"Nov 16, 2014","Nov 2, 2014",,,,,owned
The Language of Flowers,-,,,,,,owned
Feeling Is The Secret 1944,"Dec 8, 2019","Dec 8, 2019",,,,,audiobook
"Delivering Happiness: A Path to Profits, Passion, and Purpose","Feb 18, 2017","Feb 8, 2017",,,,,library
De Sparkle,"Feb 26, 2016","Jan 10, 2016",,,,,library
The Waking Engine,"Aug 3, 2015","Jul 17, 2015","August 3, 2015 – Finished Reading
August 3, 2015 – page 399 82.27% ""what a trip. 100 pages to go!""
July 29, 2015 – page 278 57.32% ""this is beautiful and sad""
July 26, 2015 – page 196 40.41% ""I am enjoying the slow phasing of this book a lot. The characters are so deep and just one scene introducing Osebo and I love him. ♥""
July 24, 2015 – page 178 36.7%
July 24, 2015 – page 131 27.01% ""That's one crazy psycho fairy. And the father as well.""
July 23, 2015 – page 100 20.62% ""is like watching a Scifi movie :) reminds me of when I read the dune saga. all the details and focus if you didn't want to get lost.""
July 22, 2015 – page 58 11.96% ""There is a lot of anti-religion ideas so far. Understandable since the book is supposed to deal with life after life. Now I understand the sub, ""where gods and mortals come to die"". Very interesting so far :)""
July 19, 2015 – page 34 7.01% ""This is going to take a while but very interesting so far""
July 17, 2015 – Currently Reading
There is a beautiful madness in this book.
Cooper is a fat gay New Yorker who wakes up somehow in the City Unspoken, a city where mortals and gods come to die. A concept which will leave you amazed once you grasp the meaning of it. The plot is difficult to understand if you are of the impatient kind. But once you do you will feel the need to continue.
The end of death is coming and everyone will drown in their own madness. The true plot here is a deeper one on life and death, the way each character face this and their immortality. This leads us to complex characters from which even those appearing in one mere scene have you wishing to know more about them. The phase is constant and the views constantly change. Much like movie scenes.
I truly enjoyed this book. Is my kind of book and I am certain it is not everyone's kind. It is not a mainstream read, nor is it meant for you to connect on a personal level to anyone but the worlds. But these kind of stories are what I consider forsaken and underestimated jewels. I never marked a book so much with so many flags and sticky notes. I would not have minded if it was 600 pages long.",,,,owned
The Book of Strange New Things,"Jun 11, 2014","Jun 3, 2014","Michel Faber didn’t published a book for 10 years, it made me wonder if he was on extended holidays or just taking his time writing this wonderful book. I never heard of him before, but I was curious if it was a new author so I did some research. He wasn’t, he was just out of the scene for longer than I’ve been reading.
The book begins with a man and a wife who relationship is deeply bonded in love; for each other, Jesus and the world. What stroked me is how well developed these characters were. I even felt sorry for the absent wife, I felt every pain as I read her emails and sorry and angry at the same time at Peter. I was expecting a lot of fanatic religion and annoying moralist characters, but no. These were real human beings trying hard to keep and share their faith, with their own doubts and guilt’s. I have to say the religious factor in this book was perfect, not pushy and yet integral to the story.
When Peter, the main character, encounters the natives of Oasis they hit me as creepy and I was pretty sure something creepy was going to happen. But no, these creatures are also as real as we are all the more reason for me to keep reading. It was amazing how Faber managed to keep these natives different and yet similar to humans. At some point I thought of them as adorably creepy.
The writing style was fluid and every single scene was worth reading until the very end; which even though a bit short for me, was well satisfying. Stating how a good book does not have to end and can go on in your imagination. A story, a real story has no ending, but a new beginning. The open end and the questions I had left made me wonder if the author was planning a sequel. I hope not really. The world was so perfect; the characters so real, I think a sequel might ruin this effect.
All in all, an unexpected amazing read!",,,,ebook
Seth Speaks: The Eternal Validity of the Soul,"Mar 22, 2013","Mar 12, 2013",Lovely book :) makes my days brighter and it clarify so much I already believe in. Enjoying the dream reality part right now ♥,,,,ebook
An Abundance of Katherines,"May 23, 2014","May 17, 2014",,,,,library
Auracle,"Mar 28, 2015","Mar 22, 2015",,,,,library
"Station Eleven ","Apr 30, 2015","Apr 22, 2015","Once in a while you encounter a book that makes you think. Sucks you into it's words and touch your soul and makes you consider the questions of life. Such was a book last year with A Tale for the Time Being by Ruth Ozeki. This year, it was Station Eleven, as of now. Who knows by the end of the year. But this is a book which makes you think about what it means to reach immortality in a dying world.
The story is about a traveling group of artists and a strange dangerous sect 20 years after the Apocalypse. Traveling from settlements to settlements, the Traveling Symphony brings a bit of color and music to those who live still in darkness and survival mode. Their quest leads them to recover one of their own and with it, the recovery of hope.
“But these thoughts broke apart in his head and were replaced by strange fragments: This is my soul and the world unwinding, this is my heart in the still winter air. Finally whispering the same two words over and over: “Keep walking. Keep walking. Keep walking.”
The story floats around before, during and after the Apocalypse hits. All characters are amazingly developed, with their own back stories and their own connections. Each one entangled in the history of the other, in each others own immortality. Jeevan, the contributor, the link between Arthur, Kirsten and Miranda. Kirsten the one who remembers them. Arthur, the one who will be forever immortalize in Kirsten's thoughts. And Miranda, in Kirsten's surviving books.
This novel's style can be comparable to The Clock Bones by David Mitchell. Where time flows from character to character and makes you want to know more. The words make you reflect on what you have, what you built, and what you will leave when all else is gone. And it will make you feel grateful for how far we've come as a species. My favorite part of the book was during the 'airport' chapter. It made me almost cry about how much we take for granted until it's all gone.",,,,ebook
The Muse,"Mar 19, 2017","Nov 23, 2016",,,,,owned
